Category,Subcategory,Location,Manufacturer Name,Manufacturer Part Number,Item Description,UOM,Price,Volume,
Electrical,"Conduit, Raceways & Fittings",Sanford,THOMAS & BETTS CORP,B14-8,T&B B14-8 16-14 BARE RING TERM,EA, 0.15 , 300 ,
Electrical Rd 2,"Conduit, Raceways & Fittings",Sanford,THOMAS & BETTS CORP,1277,T&B 1277 3/4 1H MALL PIPE STRAP,EA, 0.38 , 110 ,
Electrical Rd 2,"Conduit, Raceways & Fittings",Sanford,THOMAS & BETTS CORP,1350,T&B 1350 1/2TO 1 MALL CLAMPBACK,EA, 0.68 , 55 ,
Electrical,"Conduit, Raceways & Fittings",Sanford,THOMAS & BETTS CORP,TY535M,T&B TY535M LOCKING CABLE TIE,EA, 0.18 , 200 ,
Electrical,"Conduit, Raceways & Fittings",Sanford,THOMAS & BETTS CORP,C10-10,T&B C10-10 12-10 BARE RING TERM,EA, 0.21 , 150 ,
Electrical,"Conduit, Raceways & Fittings",Sanford,THOMAS & BETTS CORP,TY5234M,T&B TY5234M LOCKING CABLE TIE,EA, 0.15 , 200 ,
Electrical Rd 2,"Conduit, Raceways & Fittings",Sanford,THOMAS & BETTS CORP,5710,T&B 5710 1/2 L/T SNAP-IN KO BLANK,EA, 1.13 , 22 ,
Electrical Rd 2,"Conduit, Raceways & Fittings",Sanford,THOMAS & BETTS CORP,1942,T&B 1942 1/2 INS BUSHED NIPPLE,EA, 1.17 , 20 ,
Electrical Rd 2,"Conduit, Raceways & Fittings",Sanford,THOMAS & BETTS CORP,LTC050,T&B LTC050 1/2 L/T CONDUIT TYPE 2,EA, 0.66 , 30 ,
Electrical,"Conduit, Raceways & Fittings",Sanford,THOMAS & BETTS CORP,B14-10,T&B B14-10 16-14 BARE RING TERM,EA, 0.19 , 100 ,
Electrical Rd 2,"Conduit, Raceways & Fittings",Sanford,THOMAS & BETTS CORP,D8-38,T&B D8-38 9-7 BARE RING TERM,EA, 0.74 , 25 ,
Electrical,"Conduit, Raceways & Fittings",Sanford,THOMAS & BETTS CORP,A18-10,T&B A18-10 22-18 BARE RING TERM,EA, 0.18 , 100 ,
Electrical Rd 2,"Conduit, Raceways & Fittings",Sanford,THOMAS & BETTS CORP,224,T&B 224 1-IN 105D PLASTIC BUSHING,EA, 0.30 , 50 ,
Electrical Rd 2,"Conduit, Raceways & Fittings",Sanford,THOMAS & BETTS CORP,1278,T&B 1278 1-IN 1H MALL PIPE STRAP,EA, 0.54 , 20 ,
Electrical,"Conduit, Raceways & Fittings",Sanford,THOMAS & BETTS CORP,TY5232M,T&B TY5232M LOCKING CABLE TIE,EA, 0.10 , 100 ,
Electrical Rd 2,"Conduit, Raceways & Fittings",Sanford,THOMAS & BETTS CORP,1276,T&B 1276 1/2 1H MALL PIPE STRAP,EA, 0.27 , 20 ,
Electrical,"Conduit, Raceways & Fittings",Sanford,WESTERN TUBE & CONDUIT CORP,RC075,CONDUIT 3/4GALV STEEL,EA, 1.25 , 100 ,
Electrical Rd 2,"Conduit, Raceways & Fittings",Sanford,WIREMOLD,5500BD,WM 5500BD IV NM RACEWAY BASEP/FT,EA, 4.68 , 48 ,
Electrical Rd 2,"Conduit, Raceways & Fittings",Sanford,WIREMOLD,5500C,WM 5500C IV NM RACEWAY COVER P/FT,EA, 3.63 , 48 ,
Electrical Rd 2,"Conduit, Raceways & Fittings",Sanford,WIREMOLD,5507D,WM 5507D IV NM DPLX FACEPLATE,EA, 2.50 , 20 ,
Electrical Rd 2,"Conduit, Raceways & Fittings",Sanford,WIREMOLD,V700,WM V700 RACEWAY P/FT,EA, 0.96 , 50 ,
Electrical,"Controls, Relays & Timers",Cowelton,BANNER ENGINEERING CORP,SM312LVAGQD,BANNER SM312LVAGQD SENSOR,EA, 106.35 , 40 ,
Electrical,"Controls, Relays & Timers",Cowelton,BANNER ENGINEERING CORP,LT3PIQ,BANNER LT3PIQ,EA, 733.36 , 4 ,
Electrical,"Controls, Relays & Timers",Cowelton,BANNER ENGINEERING CORP,SM2A312LVAGQD,BANNER SM2A312LVAGQD MINI BEAM,EA, 87.89 , 33 ,
Electrical,"Controls, Relays & Timers",Cowelton,BANNER ENGINEERING CORP,SM312LVQD,BANNER SM312LVQD,EA, 84.29 , 32 ,
Electrical,"Controls, Relays & Timers",Cowelton,BANNER ENGINEERING CORP,SM312WQD,BANNER SM312WQD PHOTO SENSOR,EA, 79.38 , 10 ,
Electrical,"Controls, Relays & Timers",Cowelton,BANNER ENGINEERING CORP,BRT-THG-3X3-10,BANNER BRT-THG-3X3-10,EA, 23.51 , 25 ,
Electrical,"Controls, Relays & Timers",Cowelton,BANNER ENGINEERING CORP,SM312FQD,BANNER SM312FQD,EA, 105.42 , 5 ,
Electrical,"Controls, Relays & Timers",Cowelton,BANNER ENGINEERING CORP,T18SP6LPQ,BANNER T18SP6LPQ,EA, 60.24 , 5 ,
Electrical,"Controls, Relays & Timers",Cowelton,CUTLER HAMMER,CRAC3,C-H CRAC3 1NO 3P AUX CONTACT KIT,EA, 33.81 , 20 ,
Electrical,"Controls, Relays & Timers",Cowelton,CUTLER HAMMER,H2006B-3,C-H H2006B-3 HEATER ELEMENT PAK3,EA, 42.23 , 6 ,
Electrical,"Controls, Relays & Timers",Cowelton,CUTLER HAMMER,AN16BN0AC,C-H AN16BN0AC SIZE 0 STARTER,EA, 242.48 , 1 ,
Electrical,"Controls, Relays & Timers",Cowelton,CUTLER HAMMER,H1024,C-H H1024 HTR ELEMENT,EA, 44.16 , 2 ,
Electrical,"Controls, Relays & Timers",Cowelton,CUTLER HAMMER,H1112,C-H H1112 HTR ELEMENT,EA, 37.67 , 1 ,
Electrical,"Controls, Relays & Timers",Cowelton,FLUKE ELECTRONICS,1AC-A1-II,FLK FLUKE-1AC-A1-II ACV DETECTOR,EA, 20.68 , 11 ,
Electrical,"Controls, Relays & Timers",Cowelton,GE,36A164453AAP21BRUSH,ELECTRICAL REPAIR PARTS,EA, 42.60 , 9 ,
Electrical,"Controls, Relays & Timers",Cowelton,GE SUPPLY,RR9,RR9RELAY,EA, 43.96 , 2 ,
Electrical,"Controls, Relays & Timers",Cowelton,LSI,34001GM,LSI LENS ONLY 34001-GM,EA, 53.38 , 2 ,
Electrical,"Controls, Relays & Timers",Cowelton,MODICON (SCHNEIDER ELECTRIC),140DAI55300,,EA, 578.18 , 5 ,
Electrical,"Controls, Relays & Timers",Cowelton,MODICON (SCHNEIDER ELECTRIC),140DAO84210,,EA, 369.30 , 2 ,
Electrical,"Controls, Relays & Timers",Cowelton,SIKO PRODUCTS,DK01-100-2-I-RH.500-ST-FR,DK01-100-2-I-RH.500-ST-FR,EA, 79.29 , 6 ,
Electrical,"Controls, Relays & Timers",Cowelton,SQUARE D (TELEMECANIQUE),ATV58HU41N4ZU,,EA, 643.06 , 2 ,
Electrical,"Controls, Relays & Timers",Cowelton,SQUARE D (TELEMECANIQUE),LD1LB030FC,SQD LD1LB030FC INT 18 BASE,EA, 181.85 , 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,ALLIED ELECTRONICS CORP,"599-0054, 554147 , 45PPI",REPLACEMENT FILTERS 5 PK,EA, 3.04 , 8 ,
Electrical,"Controls, Relays & Timers",Middlebury,BANNER ENGINEERING CORP,SM312LVAGQD,BANNER SM312LVAGQD SENSOR,EA, 96.78 , 56 ,
Electrical,"Controls, Relays & Timers",Middlebury,BANNER ENGINEERING CORP,SM2A312LVAGQD,BANNER SM2A312LVAGQD MINI BEAM,EA, 92.14 , 35 ,
Electrical,"Controls, Relays & Timers",Middlebury,BANNER ENGINEERING CORP,SM312LVQD,BANNER SM312LVQD,EA, 82.33 , 20 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,BANNER ENGINEERING CORP,70940,BANNER 70940 QL55M6XD50BQ LUMINESCE,EA, 913.43 , 1 ,
Electrical,"Controls, Relays & Timers",Middlebury,BANNER ENGINEERING CORP,SM312WQD,BANNER SM312WQD PHOTO SENSOR,EA, 87.62 , 10 ,
Electrical,"Controls, Relays & Timers",Middlebury,BANNER ENGINEERING CORP,BRT-THG-3X3-10,BANNER BRT-THG-3X3-10,EA, 20.29 , 25 ,
Electrical,"Controls, Relays & Timers",Middlebury,BANNER ENGINEERING CORP,T18SP6LPQ,BANNER T18SP6LPQ,EA, 64.69 , 6 ,
Electrical,"Controls, Relays & Timers",Middlebury,BANNER ENGINEERING CORP,SM312FQD,BANNER SM312FQD,EA, 95.25 , 4 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,BANNER ENGINEERING CORP,BRT-3,BANNER BRT-3,EA, 4.75 , 11 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,BANNER ENGINEERING CORP,BRT-1.5,BANNER BRT-1.5 REFLECTOR,EA, 2.99 , 16 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,BANNER ENGINEERING CORP,BRT-1,BANNER BRT-1 1-IN REFLECTIVE DISC,EA, 2.70 , 4 ,
Electrical,"Controls, Relays & Timers",Middlebury,BRISKHEAT,FGPDHC55120 DRUM HEATER,FGPDHC55120 DRUM HEATER,EA, 798.57 , 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,COOPER BUSSMANN MFG,CDAUX10,BUSS CDAUX10 AUXILIARY CONTACT,EA, 12.18 , 7 ,
Electrical,"Controls, Relays & Timers",Middlebury,CUTLER HAMMER,IQDP4010,C-H IQDP4010 IQDP4000 W/SEPARATE,EA," 2,198.55 ", 1 ,
Electrical,"Controls, Relays & Timers",Middlebury,CUTLER HAMMER,AN16NN0A,C-H AN16NN0A SIZE 4 STARTER,EA," 1,950.74 ", 1 ,
Electrical,"Controls, Relays & Timers",Middlebury,CUTLER HAMMER,H1024,C-H H1024 HTR ELEMENT,EA, 47.03 , 15 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,CUTLER HAMMER,AN56DN0AB,C-H AN56DN0AB OPN STR SZ1 120V COIL,EA, 683.78 , 1 ,
Electrical,"Controls, Relays & Timers",Middlebury,CUTLER HAMMER,8171B-6501,C-H 8171B-6501 115VAC CONTROL UNIT,EA, 673.28 , 1 ,
Electrical,"Controls, Relays & Timers",Middlebury,CUTLER HAMMER,CRAC3,C-H CRAC3 1NO 3P AUX CONTACT KIT,EA, 27.02 , 23 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,CUTLER HAMMER,D26MR006A,C-H D26MR006A RELAY,EA, 381.77 , 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,CUTLER HAMMER,D26MR40A,C-H D26MR40A RELAY,EA, 121.36 , 3 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,CUTLER HAMMER,GMCP015E0C,CHDIS GMCP015E0C 15AMP 3P CB,EA, 316.34 , 1 ,
Electrical,"Controls, Relays & Timers",Middlebury,CUTLER HAMMER,AN16BN0AC,C-H AN16BN0AC SIZE 0 STARTER,EA, 245.13 , 1 ,
Electrical,"Controls, Relays & Timers",Middlebury,CUTLER HAMMER,H2006B-3,C-H H2006B-3 HEATER ELEMENT PAK3,EA, 39.95 , 6 ,
Electrical,"Controls, Relays & Timers",Middlebury,CUTLER HAMMER,H1112,C-H H1112 HTR ELEMENT,EA, 41.61 , 3 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,CUTLER HAMMER,XTAE009B10A2P4,C-H XTAE009B10A2P4 3P 9A STARTER,EA, 121.16 , 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,FLUKE ELECTRONICS,337,FLK FLUKE-337 AC/DC DIGITL CLMP MTR,EA, 343.61 , 2 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,FLUKE ELECTRONICS,971,FLK FLUKE-971 TEMP HUMIDITY METER,EA, 193.21 , 2 ,
Electrical,"Controls, Relays & Timers",Middlebury,FLUKE ELECTRONICS,1AC-A1-II,FLK FLUKE-1AC-A1-II ACV DETECTOR,EA, 21.47 , 15 ,
Electrical,"Controls, Relays & Timers",Middlebury,GE,36A164453AAP21BRUSH,ELECTRICAL REPAIR PARTS,EA, 39.79 , 11 ,
Electrical,"Controls, Relays & Timers",Middlebury,GE SUPPLY,RR9,RR9RELAY,EA, 37.15 , 12 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,HONEYWELL,14004345-001,MONITORING RELAYS,EA, 363.33 , 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,HUBBELL INC,14193762586,14193762586 HUBBELL DCCONTACTOR SPDT,EA, 624.66 , 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,IDEAL INDUSTRIES,61-201,IDEAL 61-201 CONTINUITYTESTER BATTS,EA, 7.32 , 29 ,
Electrical,"Controls, Relays & Timers",Middlebury,MAGPOWR,DF-P SENSOR,DF-P SENSOR,EA, 423.78 , 2 ,
Electrical,"Controls, Relays & Timers",Middlebury,MODICON (SCHNEIDER ELECTRIC),140NOE77111,,EA," 1,621.84 ", 3 ,
Electrical,"Controls, Relays & Timers",Middlebury,MODICON (SCHNEIDER ELECTRIC),140DAI55300,,EA, 568.13 , 5 ,
Electrical,"Controls, Relays & Timers",Middlebury,MODICON (SCHNEIDER ELECTRIC),140CPS11420,,EA, 615.85 , 2 ,
Electrical,"Controls, Relays & Timers",Middlebury,MODICON (SCHNEIDER ELECTRIC),140ACI03000,,EA," 1,027.51 ", 1 ,
Electrical,"Controls, Relays & Timers",Middlebury,MODICON (SCHNEIDER ELECTRIC),140NOM21100,,EA, 962.08 , 1 ,
Electrical,"Controls, Relays & Timers",Middlebury,MODICON (SCHNEIDER ELECTRIC),140CRP93100,,EA, 875.45 , 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,NEWARK INONE,87F2836,554148 FILTER GUARD ASSECOMAIR ROTRON XL,EA, 4.79 , 6 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,OMRON,42K 6692,42K 6692,EA, 0.14 , 16 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,ORMEC,ACC-J30901,ACC-J30901,EA," 1,733.96 ", 2 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,RAYCHEM CORPORATION,H612100,RAY H612100 6W 100' WET HEAT,EA, 482.97 , 2 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,SECO,B161S,DC DRIVES,EA, 161.85 , 2 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,SECO,B161S,DC DRIVES,EA, 215.65 , 1 ,
Electrical,"Controls, Relays & Timers",Middlebury,SIKO PRODUCTS,DK01-100-2-I-RH.500-ST-FR,DK01-100-2-I-RH.500-ST-FR,EA, 90.12 , 9 ,
Electrical,"Controls, Relays & Timers",Middlebury,SQUARE D (TELEMECANIQUE),ATV58HU41N4ZU,,EA, 685.28 , 5 ,
Electrical,"Controls, Relays & Timers",Middlebury,SQUARE D (TELEMECANIQUE),AS-P810-000,,EA, 867.50 , 2 ,
Electrical,"Controls, Relays & Timers",Middlebury,SQUARE D (TELEMECANIQUE),AS-P884-001,,EA," 1,419.09 ", 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,SQUARE D (TELEMECANIQUE),2510MBW12,SQD 2510MBW12 115/460-575V STARTER,EA, 421.87 , 2 ,
Electrical,"Controls, Relays & Timers",Middlebury,SQUARE D (TELEMECANIQUE),LD1LB030FC,SQD LD1LB030FC INT 18 BASE,EA, 185.07 , 3 ,
Electrical,"Controls, Relays & Timers",Middlebury,TOSHIBA,VT130G7U4220,AC INVERTERS,EA," 3,483.50 ", 2 ,
Electrical,"Controls, Relays & Timers",Middlebury,TOSHIBA,VT130G7U4055,VT130G7U4055 TOSHIBA CONTROLLER,EA," 1,812.31 ", 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,UNDEFINED,18 KW WATER TEMP CONTROL UNIT,18 KW WATER TEMP CONTROL UNIT,EA," 3,730.08 ", 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,UNDEFINED,GMO913 HEATER,GMO913 HEATER,EA," 1,504.70 ", 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,UNDEFINED,720-70C RELAY 24V DC,720-70C RELAY 24V DC,EA, 595.86 , 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,UNDEFINED,2-40-260 BURNER CONTROL,2-40-260 BURNER CONTROL,EA, 592.10 , 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Middlebury,UNDEFINED,PT41K PT TIMER,PT41K PT TIMER,EA, 447.92 , 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,ALLIED ELECTRONICS CORP,"599-0054, 554147 , 45PPI",REPLACEMENT FILTERS 5 PK,EA, 2.69 , 8 ,
Electrical,"Controls, Relays & Timers",Roxborough,BANNER ENGINEERING CORP,SM312LVAGQD,BANNER SM312LVAGQD SENSOR,EA, 92.16 , 50 ,
Electrical,"Controls, Relays & Timers",Roxborough,BANNER ENGINEERING CORP,SM312LVQD,BANNER SM312LVQD,EA, 103.02 , 17 ,
Electrical,"Controls, Relays & Timers",Roxborough,BANNER ENGINEERING CORP,SM2A312LVAGQD,BANNER SM2A312LVAGQD MINI BEAM,EA, 102.77 , 15 ,
Electrical,"Controls, Relays & Timers",Roxborough,BANNER ENGINEERING CORP,SM312WQD,BANNER SM312WQD PHOTO SENSOR,EA, 66.44 , 9 ,
Electrical,"Controls, Relays & Timers",Roxborough,BANNER ENGINEERING CORP,63993,BANNER 63993 D10UNFPQ QD NPN RED,EA, 176.48 , 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,BANNER ENGINEERING CORP,BRT-3,BANNER BRT-3,EA, 4.78 , 17 ,
Electrical,"Controls, Relays & Timers",Roxborough,BANNER ENGINEERING CORP,BRT-THG-3X3-10,BANNER BRT-THG-3X3-10,EA, 18.46 , 4 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,BANNER ENGINEERING CORP,BRT-1,BANNER BRT-1 1-IN REFLECTIVE DISC,EA, 2.69 , 22 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,BANNER ENGINEERING CORP,BRT-1.5,BANNER BRT-1.5 REFLECTOR,EA, 3.05 , 9 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,COOPER BUSSMANN MFG,CDAUX10,BUSS CDAUX10 AUXILIARY CONTACT,EA, 11.90 , 5 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,CUTLER HAMMER,XTAE009B10A2P4,C-H XTAE009B10A2P4 3P 9A STARTER,EA, 115.98 , 6 ,
Electrical,"Controls, Relays & Timers",Roxborough,CUTLER HAMMER,8171B-6501,C-H 8171B-6501 115VAC CONTROL UNIT,EA, 679.88 , 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,CUTLER HAMMER,AN56DN0AB,C-H AN56DN0AB OPN STR SZ1 120V COIL,EA, 626.44 , 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,CUTLER HAMMER,AN16GN0AB,C-H AN16GN0AB SIZE 2 STARTER,EA, 613.26 , 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,CUTLER HAMMER,D80NE2A,C-H D80NE2A 120V PNEUM TIMER,EA, 604.73 , 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,CUTLER HAMMER,D26MR006A,C-H D26MR006A RELAY,EA, 370.77 , 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,CUTLER HAMMER,GMCP015E0C,CHDIS GMCP015E0C 15AMP 3P CB,EA, 345.39 , 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,CUTLER HAMMER,CN15DN3AB,C-H CN15DN3AB SIZE 1 CONTACTOR,EA, 313.52 , 1 ,
Electrical,"Controls, Relays & Timers",Roxborough,CUTLER HAMMER,H2006B-3,C-H H2006B-3 HEATER ELEMENT PAK3,EA, 42.17 , 2 ,
Electrical,"Controls, Relays & Timers",Roxborough,CUTLER HAMMER,H1024,C-H H1024 HTR ELEMENT,EA, 38.95 , 2 ,
Electrical,"Controls, Relays & Timers",Roxborough,CUTLER HAMMER,CRAC3,C-H CRAC3 1NO 3P AUX CONTACT KIT,EA, 31.61 , 2 ,
Electrical,"Controls, Relays & Timers",Roxborough,FLUKE ELECTRONICS,1AC-A1-II,FLK FLUKE-1AC-A1-II ACV DETECTOR,EA, 26.48 , 21 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,FLUKE ELECTRONICS,971,FLK FLUKE-971 TEMP HUMIDITY METER,EA, 192.71 , 2 ,
Electrical,"Controls, Relays & Timers",Roxborough,GE,36A164453AAP21BRUSH,ELECTRICAL REPAIR PARTS,EA, 41.55 , 5 ,
Electrical,"Controls, Relays & Timers",Roxborough,GE SUPPLY,RR9,RR9RELAY,EA, 40.37 , 8 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,HONEYWELL,14004345-001,MONITORING RELAYS,EA, 377.00 , 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,IDEAL INDUSTRIES,61-201,IDEAL 61-201 CONTINUITYTESTER BATTS,EA, 7.06 , 23 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,INDUSTRIAL MOTION CONTROL,92A61633010000,92A61633010000 CAMCO VARI-PAK DC,EA," 1,061.96 ", 1 ,
Electrical,"Controls, Relays & Timers",Roxborough,JOSLYN CLARK CONTROLS INC,HPR10U03-96,HPR10U03-96 JOSLYN CLARK,EA, 475.14 , 1 ,
Electrical,"Controls, Relays & Timers",Roxborough,MAGPOWR,DF-P SENSOR,DF-P SENSOR,EA, 384.03 , 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,NEWARK INONE,87F2836,554148 FILTER GUARD ASSECOMAIR ROTRON XL,EA, 4.47 , 14 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,OMRON,42K 6692,42K 6692,EA, 0.16 , 21 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,ORMEC,ACC-J30901,ACC-J30901,EA," 1,665.06 ", 3 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,SECO,B161S,DC DRIVES,EA, 202.54 , 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,SIEMENS,14DSB32AA,MOTOR STARTERS,EA, 308.80 , 1 ,
Electrical,"Controls, Relays & Timers",Roxborough,SIKO PRODUCTS,DK01-100-2-I-RH.500-ST-FR,DK01-100-2-I-RH.500-ST-FR,EA, 79.90 , 5 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,SQUARE D (TELEMECANIQUE),2510MBW12,SQD 2510MBW12 115/460-575V STARTER,EA, 395.58 , 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,TOUCH CONTROLS,0NE*60608302,TOUCH CONTROLSTSD19921011,EA," 1,425.32 ", 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,UNDEFINED,18 KW WATER TEMP CONTROL UNIT,18 KW WATER TEMP CONTROL UNIT,EA," 3,199.07 ", 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,UNDEFINED,CONTROLLER GE #IC600PX503 6931183,CONTROLLER GE #IC600PX503 6931183,EA," 2,326.18 ", 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,UNDEFINED,0228-03-21-50-61,0228-03-21-50-61 COND.SENSOR,EA," 1,069.30 ", 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Roxborough,UNDEFINED,PT41K PT TIMER,PT41K PT TIMER,EA, 511.23 , 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Sanford,ALLIED ELECTRONICS CORP,"599-0054, 554147 , 45PPI",REPLACEMENT FILTERS 5 PK,EA, 3.00 , 20 ,
Electrical,"Controls, Relays & Timers",Sanford,BANNER ENGINEERING CORP,SM312LVAGQD,BANNER SM312LVAGQD SENSOR,EA, 102.20 , 58 ,
Electrical,"Controls, Relays & Timers",Sanford,BANNER ENGINEERING CORP,LT3PIQ,BANNER LT3PIQ,EA, 839.00 , 7 ,
Electrical,"Controls, Relays & Timers",Sanford,BANNER ENGINEERING CORP,SM2A312LVAGQD,BANNER SM2A312LVAGQD MINI BEAM,EA, 92.56 , 44 ,
Electrical,"Controls, Relays & Timers",Sanford,BANNER ENGINEERING CORP,SM312LVQD,BANNER SM312LVQD,EA, 96.14 , 37 ,
Electrical,"Controls, Relays & Timers",Sanford,BANNER ENGINEERING CORP,SM312WQD,BANNER SM312WQD PHOTO SENSOR,EA, 77.64 , 15 ,
Electrical Rd 2,"Controls, Relays & Timers",Sanford,BANNER ENGINEERING CORP,70940,BANNER 70940 QL55M6XD50BQ LUMINESCE,EA, 918.35 , 1 ,
Electrical,"Controls, Relays & Timers",Sanford,BANNER ENGINEERING CORP,BRT-THG-3X3-10,BANNER BRT-THG-3X3-10,EA, 20.45 , 30 ,
Electrical,"Controls, Relays & Timers",Sanford,BANNER ENGINEERING CORP,T18SP6LPQ,BANNER T18SP6LPQ,EA, 67.92 , 9 ,
Electrical,"Controls, Relays & Timers",Sanford,BANNER ENGINEERING CORP,SM312FQD,BANNER SM312FQD,EA, 100.45 , 6 ,
Electrical,"Controls, Relays & Timers",Sanford,BANNER ENGINEERING CORP,63993,BANNER 63993 D10UNFPQ QD NPN RED,EA, 204.11 , 2 ,
Electrical Rd 2,"Controls, Relays & Timers",Sanford,BANNER ENGINEERING CORP,BRT-3,BANNER BRT-3,EA, 4.29 , 24 ,
Electrical Rd 2,"Controls, Relays & Timers",Sanford,BANNER ENGINEERING CORP,BRT-1,BANNER BRT-1 1-IN REFLECTIVE DISC,EA, 2.48 , 23 ,
Electrical Rd 2,"Controls, Relays & Timers",Sanford,BANNER ENGINEERING CORP,BRT-1.5,BANNER BRT-1.5 REFLECTOR,EA, 2.84 , 20 ,
Electrical,"Controls, Relays & Timers",Sanford,BRISKHEAT,FGPDHC55120 DRUM HEATER,FGPDHC55120 DRUM HEATER,EA, 721.00 , 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Sanford,COOPER BUSSMANN MFG,CDAUX10,BUSS CDAUX10 AUXILIARY CONTACT,EA, 12.81 , 39 ,
Electrical,"Controls, Relays & Timers",Sanford,CUTLER HAMMER,AN56BN0AC,C-H AN56BN0AC RELAY,EA, 638.02 , 4 ,
Electrical,"Controls, Relays & Timers",Sanford,CUTLER HAMMER,IQDP4010,C-H IQDP4010 IQDP4000 W/SEPARATE,EA," 2,492.99 ", 1 ,
Electrical,"Controls, Relays & Timers",Sanford,CUTLER HAMMER,AN16BN0AC,C-H AN16BN0AC SIZE 0 STARTER,EA, 256.99 , 9 ,
Electrical,"Controls, Relays & Timers",Sanford,CUTLER HAMMER,AN16NN0A,C-H AN16NN0A SIZE 4 STARTER,EA," 1,974.70 ", 1 ,
Electrical Rd 2,"Controls, Relays & Timers",Sanford,CUTLER HAMMER,D26MR80A,C-H D26MR80A RELAY,EA, 203.64 , 4 ,
Electrical Rd 2,"Controls, Relays & Timers",Sanford,CUTLER HAMMER,37433,C-H 6-26-2 SIZE-4 3P CONTACT SET,EA, 797.65 , 1 ,
Electrical,"Controls, Relays & Timers",Sanford,CUTLER HAMMER,CRAC3,C-H CRAC3 1NO 3P AUX CONTACT KIT,EA, 31.52 , 25 ,
Electrical,"Controls, Relays & Timers",Sanford,CUTLER HAMMER,H1024,C-H H1024 HTR ELEMENT,EA, 43.70 , 18 ,
Electrical Rd 2,"Controls, Relays & Timers",Sanford,CUTLER HAMMER,XTAE009B10A2P4,C-H XTAE009B10A2P4 3P 9A STARTER,EA, 105.58 , 7 ,
Electrical Rd 2,"Controls, Relays & Timers",Sanford,CUTLER HAMMER,IPONI,CHVEC IPONI INC PROD OPR NET INTRFC,EA, 714.63 , 1 ,
